"","install_date","app_name","user_id","gender","generation","device_type"
"1","2013-04-15","game-01",1,"M",40,"iOS"
"2","2013-04-15","game-01",2,"M",10,"Android"
"3","2013-04-15","game-01",3,"F",40,"iOS"
"4","2013-04-15","game-01",4,"M",10,"Android"
"5","2013-04-15","game-01",5,"M",40,"iOS"
"6","2013-04-15","game-01",6,"M",40,"iOS"
"7","2013-04-15","game-01",7,"F",30,"Android"
"8","2013-04-15","game-01",8,"F",20,"iOS"
"9","2013-04-15","game-01",9,"F",50,"iOS"
"10","2013-04-15","game-01",10,"M",20,"Android"
"11","2013-04-15","game-01",11,"M",40,"iOS"
"12","2013-04-15","game-01",12,"F",20,"iOS"
"13","2013-04-15","game-01",13,"M",30,"iOS"
"14","2013-04-15","game-01",14,"F",30,"iOS"
"15","2013-04-15","game-01",15,"F",40,"Android"
"16","2013-04-15","game-01",16,"M",20,"Android"
"17","2013-04-15","game-01",17,"F",10,"Android"
"18","2013-04-15","game-01",18,"F",30,"Android"
"19","2013-04-15","game-01",19,"F",30,"iOS"
"20","2013-04-15","game-01",20,"F",10,"iOS"
"21","2013-04-15","game-01",21,"M",20,"Android"
"22","2013-04-15","game-01",22,"F",30,"Android"
"23","2013-04-15","game-01",23,"M",20,"Android"
"24","2013-04-15","game-01",24,"M",50,"iOS"
"25","2013-04-15","game-01",25,"M",20,"Android"
"26","2013-04-16","game-01",26,"M",20,"iOS"
"27","2013-04-16","game-01",27,"F",20,"Android"
"28","2013-04-16","game-01",28,"M",20,"iOS"
"29","2013-04-16","game-01",29,"F",20,"iOS"
"30","2013-04-16","game-01",30,"F",20,"iOS"
"31","2013-04-16","game-01",31,"F",20,"iOS"
"32","2013-04-16","game-01",32,"F",50,"Android"
"33","2013-04-16","game-01",33,"F",10,"Android"
"34","2013-04-16","game-01",34,"F",40,"iOS"
"35","2013-04-16","game-01",35,"F",30,"Android"
"36","2013-04-16","game-01",36,"M",20,"Android"
"37","2013-04-16","game-01",37,"M",40,"Android"
"38","2013-04-16","game-01",38,"F",10,"Android"
"39","2013-04-16","game-01",39,"F",10,"iOS"
"40","2013-04-16","game-01",40,"M",10,"iOS"
"41","2013-04-16","game-01",41,"M",30,"iOS"
"42","2013-04-16","game-01",42,"M",20,"iOS"
"43","2013-04-16","game-01",43,"F",20,"iOS"
"44","2013-04-16","game-01",44,"F",30,"Android"
"45","2013-04-16","game-01",45,"F",10,"iOS"
"46","2013-04-16","game-01",46,"F",20,"Android"
"47","2013-04-16","game-01",47,"F",30,"iOS"
"48","2013-04-16","game-01",48,"M",30,"Android"
"49","2013-04-16","game-01",49,"F",20,"iOS"
"50","2013-04-16","game-01",50,"F",20,"Android"
"51","2013-04-16","game-01",51,"F",30,"Android"
"52","2013-04-16","game-01",52,"M",30,"Android"
"53","2013-04-16","game-01",53,"M",20,"Android"
"54","2013-04-16","game-01",54,"M",10,"Android"
"55","2013-04-16","game-01",55,"F",20,"iOS"
"56","2013-04-16","game-01",56,"F",20,"Android"
"57","2013-04-16","game-01",57,"M",30,"Android"
"58","2013-04-16","game-01",58,"F",20,"Android"
"59","2013-04-16","game-01",59,"F",20,"Android"
"60","2013-04-16","game-01",60,"M",40,"Android"
"61","2013-04-16","game-01",61,"F",20,"iOS"
"62","2013-04-16","game-01",62,"M",10,"Android"
"63","2013-04-16","game-01",63,"M",20,"iOS"
"64","2013-04-16","game-01",64,"M",20,"Android"
"65","2013-04-16","game-01",65,"M",20,"Android"
"66","2013-04-16","game-01",66,"F",30,"iOS"
"67","2013-04-16","game-01",67,"F",20,"Android"
"68","2013-04-16","game-01",68,"M",10,"Android"
"69","2013-04-16","game-01",69,"F",40,"iOS"
"70","2013-04-16","game-01",70,"M",20,"iOS"
"71","2013-04-16","game-01",71,"F",10,"iOS"
"72","2013-04-16","game-01",72,"F",40,"Android"
"73","2013-04-16","game-01",73,"M",30,"Android"
"74","2013-04-16","game-01",74,"M",10,"Android"
"75","2013-04-16","game-01",75,"M",20,"iOS"
"76","2013-04-16","game-01",76,"M",20,"iOS"
"77","2013-04-16","game-01",77,"F",20,"Android"
